Conclusion ID,Conclusion Type,Statement,Supporting Assets,Confidence,Boundary / Limitation,Chapter Location
CON12-001,Established fact,The body was found at Somerton Beach on 1 December 1948.,"research/chronology/chronology_master.csv; verification_matrix.csv; Chapter 5",Very High,"Does not establish final movements, place of death, or cause.",Section 12.2
CON12-002,Established fact,Major evidence clusters are documented.,"chapter06_evidence_fact_check.csv; physical_evidence_summary.md; Chapter 6",Moderate to High,"Object existence is stronger than custody continuity.",Section 12.2
CON12-003,Supported inference,Clothing and property contain identification-relevant issues.,"chapter06_evidence_fact_check.csv EFC06-006; verification_matrix.csv PA2025-038",Moderate,"Actor timing and motive are not established.",Section 12.2
CON12-004,Supported inference,The Rubaiyat and Tamam Shud cluster is central documentary evidence.,"physical_evidence_summary.md; chapter06_evidence_fact_check.csv EFC06-012 to EFC06-015",Low to Moderate,"Meaning provenance and operational significance remain unresolved.",Section 12.2
CON12-005,Assessment,The Webb attribution remains researcher/lab-led pending official coroner/SAPOL determination.,"identity_status_guidance.md; chapter08_identity_fact_check.csv IFC08-018; intelligence_confidence_register.csv ICA-001",Moderate,"Official custodial identification record is not acquired.",Section 12.4
CON12-006,Assessment,Cause and mechanism of death remain medically unresolved.,"forensic_medical_summary.md; chapter09_forensic_matrix.csv FM09-007 to FM09-010; medical_uncertainties.csv",Moderate,"No specific poison detected; full autopsy/lab record missing.",Section 12.5
CON12-007,Assessment,Historical intelligence context is not case-specific proof.,"context_assessment.md; chapter10_confidence_review.csv ICA-005; source_reliability_matrix.csv",Very Low for direct involvement,"No named security file service linkage or operation record acquired.",Section 12.6
CON12-008,Assessment,Unknown or indeterminate is the strongest integrative posture.,"chapter10_ach_validation.csv ACH-006; intelligence_confidence_register.csv ICA-006",Moderate-High,"This is not a mechanism theory.",Section 12.7
CON12-009,Intelligence gap,Official identity status remains a critical requirement.,"intelligence_requirements.csv IR-001; chapter11_gap_matrix.csv GM11-001",High for gap existence,"Requires coroner SAPOL or FSSA documentation.",Section 12.7
CON12-010,Intelligence gap,Medical cause and toxicology remain critical requirements.,"intelligence_requirements.csv IR-002; chapter11_gap_matrix.csv GM11-003",High for gap existence,"Requires full autopsy toxicology lab records and expert review.",Section 12.7
CON12-011,Intelligence gap,Place of death remains unresolved.,"intelligence_requirements.csv IR-003; chapter11_gap_matrix.csv GM11-004",High for gap existence,"Requires transfer indicators witness continuity and scene evidence.",Section 12.7
CON12-012,Intelligence gap,Suitcase and Rubaiyat associations remain incomplete.,"intelligence_requirements.csv IR-004 IR-005; chapter11_gap_matrix.csv GM11-005 GM11-007",High for gap existence,"Requires custody records property notes and exhibit documentation.",Section 12.7
CON12-013,Maintenance conclusion,The repository should continue as a living research archive.,"decision_log.csv DEC-0008; chapter11_future_research_register.csv; manuscript_blueprint",High,"Updates should occur only with new material evidence or official records.",Section 12.8
