evidence_id,description,date_recovered,recovery_location,current_custodian,chain_of_custody,forensic_examinations,related_sources,current_status,outstanding_questions
EV-0001,"Tamam Shud paper slip from concealed trouser fob pocket","1949, exact date pending","On deceased's clothing/body; precise recovery context pending inquest review","Unknown; likely police/case file if extant","Recovered after body search according to published accounts; chain requires primary file review","Visual/textual comparison to Rubaiyat page reported; direct forensic record pending","SRC-0001; SRC-0003; SRC-0005; SRC-0023","Existence verified by source trails; current physical status unknown","When exactly was it found; who found it; does the original survive; was fiber/paper analysis performed?"
EV-0002,"Copy of Rubaiyat of Omar Khayyam associated with torn slip","1949, exact date pending","Reportedly found in a car in/near Glenelg; exact address and finder identity pending","Unknown; possibly lost or police custody historically","Finder provided book to police after appeal; chain requires primary file review","Indentation/handwriting/code observation reported; direct forensic record pending","SRC-0001; SRC-0005; SRC-0023","Current physical status unknown","Which edition; exact recovery date; finder identity; whether police confirmed torn-page match?"
EV-0003,"Brown suitcase and contents","1949-01, exact date pending","Adelaide Railway Station cloak room; exact locker/receipt details pending","Destroyed according to secondary source trails; confirm primary record","Located by police during investigation; subsequent custody and destruction record required","Inventory and clothing examination reported; direct report pending","SRC-0001; SRC-0003; SRC-0005; SRC-0018","Reported destroyed; verification pending","What inventory exists; who authorized destruction; were photographs retained?"
EV-0004,"Tie or ties from suitcase/clothing","1948-12 to 1949-01, exact date pending","Body and/or suitcase; exact association pending","Unknown","Part of clothing inventory; chain requires inquest/police file review","Label/removal and laundry mark checks reported in general accounts; direct reports pending","SRC-0001; SRC-0005; SRC-0018","Unknown","Which tie items survive; exact brand/marks; relation to label removal?"
EV-0005,"Clothing worn by deceased","1948-12-01","Somerton Beach body recovery","Unknown","Recovered from body by police/medical personnel; chain requires primary review","Body/clothing examination; label checks; pocket inventory","SRC-0001; SRC-0003; SRC-0004","Unknown; individual items may be lost","Complete clothing list; photographs; preservation status?"
EV-0006,"Hair samples embedded in death mask or from remains","1949 death mask; 2021 exhumation samples pending","Death mask and/or exhumed remains","South Australia Police / Forensic Science SA / Police Historical Society status pending","Death mask made before burial; later hair sampling reported; formal chain needs police/forensic records","DNA/genealogical analysis reported by researchers; official verification pending","SRC-0008; SRC-0009; SRC-0010; SRC-0011","Partly extant according to reports; official status pending","What samples were officially tested; what lab reports exist; has SAPOL verified Webb identification?"
EV-0007,"Plaster death mask/bust of head, neck, and shoulders","Before burial, December 1948","Made before burial; location pending","Reportedly South Australian Police Historical Society in secondary trails; verify","Made for identification purposes; later used as hair source in reports","Physical comparison; possible DNA hair sampling","SRC-0001; SRC-0003; SRC-0005; SRC-0011","Extant status pending direct custodian confirmation","Exact custodian; accession number; preservation and access conditions?"
EV-0008,"Unused second-class train ticket Adelaide to Henley Beach","1948-12-01","Pocket search of deceased","Unknown","Recovered from body; chain requires inquest/police file review","Transport timeline evidence; ticket clerk evidence reported","SRC-0001; SRC-0003","Unknown","Serial number; purchase time; clerk statement text?"
EV-0009,"Bus ticket from city to beach area","1948-12-01","Pocket search of deceased","Unknown","Recovered from body; chain requires inquest/police file review","Transport timeline evidence; conductor evidence reported","SRC-0001; SRC-0003","Unknown","Exact route/time; whether used; conductor statement?"
EV-0010,"Aluminium comb, reportedly US-manufactured","1948-12-01","Pocket search of deceased","Unknown","Recovered from body; chain requires primary review","Inventory only pending","SRC-0001; SRC-0003; SRC-0005","Unknown","Manufacturer; import relevance; survival status?"
EV-0011,"Juicy Fruit chewing gum packet","1948-12-01","Pocket search of deceased","Unknown","Recovered from body; chain requires primary review","Inventory only pending","SRC-0001; SRC-0003","Unknown","Quantity and packaging details; survival status?"
EV-0012,"Army Club cigarette packet containing Kensitas cigarettes","1948-12-01","Pocket search of deceased","Unknown","Recovered from body; chain requires primary review","Inventory only pending","SRC-0001; SRC-0003; SRC-0004","Unknown","Was brand mismatch examined; fingerprints; survival status?"
EV-0013,"Bryant and May matches box","1948-12-01","Pocket search of deceased","Unknown","Recovered from body; chain requires primary review","Inventory only pending","SRC-0001; SRC-0003","Unknown","Exact condition/quantity; survival status?"
EV-0014,"Half-smoked cigarette on right collar/near body","1948-12-01","Somerton Beach body scene","Unknown","Observed/recovered status pending primary review","Potential scene evidence; no confirmed forensic examination yet","SRC-0001; SRC-0003; SRC-0022","Unknown","Was it collected; brand; fingerprints/saliva possible?"
EV-0015,"Fingerprints/fingerprint chart of deceased","1948-12-01 to 1948-12-04 pending","Police identification process","Unknown; source index points to chart","Police fingerprinting; circulated for identification per reports","Fingerprint comparison with police records","SRC-0005; SRC-0021","Document lead pending retrieval","Can chart be obtained; what agencies checked; complete comparison log?"
EV-0016,"Tooth chart/dental record of deceased","1948-12 to 1949 pending","Postmortem identification process","Unknown; source index points to chart","Medical/police identification record; chain pending","Dental charting","SRC-0005","Document lead pending retrieval","Can chart be obtained; dental anomalies; comparison history?"
EV-0017,"Stomach contents, blood, urine, liver, and tissue samples tested by R. J. Cowan","1948-12-02 pending","Autopsy/postmortem process","Likely no longer extant; verify","Collected during postmortem; sent to Deputy Government Analyst according to State Records summary","Common-poison testing reported negative in archive summary","SRC-0001; SRC-0003; SRC-0004","Physical samples likely unavailable; documentary record pending","Exact tests; lab notes; whether preserved material exists?"
EV-0018,"Exhumed skeletal/remain samples","2021-05-19","West Terrace Cemetery grave; exact plot pending","South Australia Police / Forensic Science SA pending","Exhumed under official authorization; chain requires SAPOL/forensic records","DNA extraction and modern forensic tests planned/reported","SRC-0008; SRC-0009; SRC-0010; SRC-0011","Pending official forensic documentation","What reports exist; results; identification status; reinterment status?"
