location_id,name,coordinates_if_available,historical_significance,related_events,related_evidence,related_people,source_references,verification_status,notes
LOC-0001,"Somerton Beach / Somerton Park beach, South Australia","Approx. -34.997, 138.512; verify exact scene coordinates","Body found on beach on 1 December 1948","EVENT-0001; EVENT-0002","EV-0005; EV-0014","PER-0001; PER-0016; PER-0017","SRC-0001; SRC-0003; SRC-0004; SRC-0022","Verified generally; exact coordinates pending","Exact point opposite former Crippled Children's Home requires primary map/source."
LOC-0002,"Adelaide Railway Station","Approx. -34.921, 138.596; verify historical cloak room location","Transport origin and suitcase cloak room lead","EVENT-0003; EVENT-0006","EV-0003; EV-0008; EV-0009","PER-0001","SRC-0001; SRC-0003","Verified generally; exact details pending","Need ticket/cloak room records from inquest/police file."
LOC-0003,"Henley Beach railway route/destination","Approx. -34.920, 138.495 for Henley Beach; verify 1948 railway context","Unused train ticket destination","EVENT-0003","EV-0008","PER-0001","SRC-0001; SRC-0003","Pending verification","Need 1948 route/timetable and ticket statement."
LOC-0004,"Glenelg / Jetty Road area","Approx. -34.981, 138.514; exact car location pending","Reported Rubaiyat recovery area","EVENT-0011","EV-0002","PER-0005","SRC-0005; SRC-0018","Pending verification","Exact car location and finder identity must be established from primary records."
LOC-0005,"Royal Adelaide Hospital","Approx. -34.921, 138.608; verify historical site","Pathologist affiliation and possible postmortem context","EVENT-0004","EV-0017","PER-0003","SRC-0003; SRC-0004","Verified affiliation; exact autopsy location pending","Need autopsy report."
LOC-0006,"West Terrace Cemetery, Adelaide","Approx. -34.930, 138.589; verify grave coordinates","Burial site and 2021 exhumation location","EVENT-0010; EVENT-0018","EV-0018","PER-0001","SRC-0008; SRC-0010","Pending direct source review","Need grave plot, exhumation documentation, reinterment status."
LOC-0007,"State Records of South Australia","Approx. unknown","Repository for 1949 and later inquest records","N/A","N/A","PER-0002","SRC-0001; SRC-0002; SRC-0003","Verified","Repository/source access location, not case event scene."
LOC-0008,"South Australia Police / Major Crime Branch","Approx. unknown","Current/open police investigation and custodian for official statements","EVENT-0018; EVENT-0019","EV-0006; EV-0018","PER-0012; PER-0013","SRC-0010; SRC-0011","Pending direct source review","Police files reportedly not transferred because case remains open."
LOC-0009,"Forensic Science South Australia","Approx. unknown","Modern forensic testing institution in exhumation reporting","EVENT-0018; EVENT-0019","EV-0006; EV-0018","PER-0013","SRC-0008; SRC-0009; SRC-0011","Pending direct source review","Need formal forensic reports or public statements."
LOC-0010,"Woomera Rocket Range","Approx. -31.199, 136.825; verify","Cold War/defence context location; not directly tied to case yet","EVENT-0016","N/A","N/A","SRC-0016","Verified as context; case relevance unverified","Do not use as case evidence without a direct source."
LOC-0011,"Maralinga","Approx. -30.158, 131.625; verify","Atomic-test context location; chronology begins after Somerton death","N/A","N/A","N/A","SRC-0006; SRC-0016","Context only; relevance unverified","Flag chronology risk before any future use."
LOC-0012,"Melbourne, Victoria","Approx. -37.814, 144.963","Reported origin area for Carl Webb identity claim","EVENT-0019","N/A","PER-0009","SRC-0008; SRC-0011","Pending direct source review","Need civil/genealogical records."
