person_id,full_name,known_aliases,role,biography_summary,relationship_to_case,timeline_references,related_sources,reliability,outstanding_questions
PER-0001,"Unknown man found at Somerton / Carl Charles Webb attribution","Somerton Man; Tamam Shud man; possible Carl Charles Webb","Deceased subject","Identity historically unknown; DNA-based Webb attribution reported by researchers but official verification must be confirmed","Central subject of investigation","EVENT-0001; EVENT-0002; EVENT-0018; EVENT-0019","SRC-0001; SRC-0003; SRC-0011","Verified deceased; identity attribution pending official verification","Has SAPOL/FSSA formally confirmed identity; cause and manner of death?"
PER-0002,"Thomas Erskine Cleland","T. E. Cleland","City Coroner","Coroner who conducted 1949 inquest and later proceedings per source trails","Presided over coronial inquiry","EVENT-0008; EVENT-0015","SRC-0001; SRC-0002; SRC-0004","Verified role","Full inquest findings and adjournment wording?"
PER-0003,"Dr John Matthew Dwyer","John Dwyer; J. M. Dwyer","Pathologist","Royal Adelaide Hospital pathologist reported as performing postmortem and giving evidence","Medical evidence and autopsy opinions","EVENT-0004; EVENT-0008","SRC-0001; SRC-0003; SRC-0004; SRC-0005","Verified role from contemporary report/archive summary","Full autopsy report; exact wording of cause-of-death opinion?"
PER-0004,"Robert James Cowan","R. J. Cowan","Deputy Government Analyst","Government analyst reported as testing biological material for common poisons","Toxicology evidence","EVENT-0008","SRC-0001; SRC-0003; SRC-0004","Verified role from archive summary/contemporary report","Exact lab report and test methods?"
PER-0005,"Detective Sergeant R. L. Leane","Lionel Leane; Det.-Sgt. Leane","Police investigator","Police detective reported in inquest/newspaper accounts","Investigation lead/witness","EVENT-0008","SRC-0001; SRC-0004; SRC-0005","Verified role in contemporary reporting","Full police statement; handling of Rubaiyat finder identity?"
PER-0006,"Jessica Thomson","Jestyn; Jo Thomson; Jessica Harkness/Thomson in secondary accounts","Witness/person of interest in later source trails","Biographical details sensitive and require primary confirmation","Reported connection to phone number and Alf Boxall/Rubaiyat lines in secondary trails","EVENT-0012; EVENT-0015","SRC-0005; SRC-0018","Unverified in this database pending primary review","What is confirmed by primary records; privacy constraints?"
PER-0007,"Robin Thomson","Unknown","Related individual in DNA/resemblance claims","Son of Jessica Thomson in secondary/prior accounts; handle carefully","Possible comparative DNA/physical-resemblance claim in prior assessment","EVENT-0019","SRC-0006; SRC-0011","Unverified in this database","What claims are officially documented; consent/privacy limits?"
PER-0008,"Alf Boxall","Alfred Boxall","Person connected with separate Rubaiyat copy in case literature","Military record/source index lead exists; full biography pending","Reportedly linked to Jessica Thomson and a Rubaiyat copy in case literature","EVENT-0012","SRC-0005","Pending verification","What primary record confirms his involvement; exact relation to case evidence?"
PER-0009,"Carl Charles Webb","Charles Webb; Carl Webb","Proposed identity","Reported by researchers as Melbourne-born electrical engineer/instrument maker; official verification pending","Potential identity of Somerton Man","EVENT-0019","SRC-0008; SRC-0011","Pending official verification","Official identity status; birth/death/marriage records; Adelaide connection?"
PER-0010,"Colleen M. Fitzpatrick","Colleen Fitzpatrick","Forensic genealogist/researcher","Genetic genealogy researcher reported as collaborating on Webb identification","Researcher, not case witness","EVENT-0019","SRC-0008; SRC-0011","Pending direct source review","Scope of work, data, and publication status?"
PER-0011,"Derek Abbott","Professor Derek Abbott","Researcher","University of Adelaide professor and curator of source index; reported DNA identification role","Researcher/source index creator","EVENT-0019","SRC-0005; SRC-0008; SRC-0011","Verified as source-index author; identification claim pending official verification","Underlying data access and peer-review status?"
PER-0012,"Vickie Chapman","Vickie Chapman","South Australian Attorney-General","Reported as granting exhumation approval in 2019/2021 source trails","Official decision-maker for exhumation authorization","EVENT-0017","SRC-0008; SRC-0010","Pending direct source review","Exact authorization terms and documents?"
PER-0013,"Anne Coxon","Anne Coxon","Forensic Science SA official","Quoted/reported in exhumation coverage as Assistant Director of Operations","Forensic-science spokesperson","EVENT-0018","SRC-0008; SRC-0009","Pending direct source review","Exact statement and role?"
PER-0014,"Gerald Michael Feltus","Gerry Feltus","Former SAPOL detective / author","Author of The Unknown Man; former detective per source trails","Secondary researcher and possible custodian of cold-case knowledge","N/A","SRC-0018","Bibliographic lead","Obtain book and evaluate source basis."
PER-0015,"John Harber Phillips","J. H. Phillips","Jurist/author","Author of Criminal Law Journal article on possible poisoning per source trails","Secondary toxicology/legal analysis","N/A","SRC-0019","Bibliographic lead","Retrieve article and verify claims."
PER-0016,"Mr J. Lyons","J. Lyons","Body discovery witness","Reported in early newspaper/source trails as discoverer or notifier; identity details pending","Discovery witness","EVENT-0002","SRC-0021; SRC-0022","Pending verification","Full statement; exact role; name spelling?"
PER-0017,"Mrs Lyons","Unknown","Body discovery witness","Reported in general accounts as with Mr Lyons; primary statement pending","Discovery witness","EVENT-0002","SRC-0001; SRC-0022","Pending verification","Full name; statement text?"
PER-0018,"E. C. Johnson","Unknown","Misidentification subject","Early newspaper reportedly believed body might be E. C. Johnson, who later identified himself alive","Early identification error","EVENT-0005","SRC-0021","Bibliographic lead","Exact article ID and correction sequence?"
PER-0019,"Mrs E. Thompson","Unknown","Identification claimant","Contemporary inquest report says she believed victim was Bob Walsh","Public identification lead","EVENT-0008","SRC-0004","Verified as reported in newspaper; claim unverified","Full statement and whether police excluded Walsh?"
PER-0020,"Robert Walsh","Bob Walsh","Possible early identification lead","Named by Mrs E. Thompson in contemporary report; identity not accepted in current database","Possible misidentification lead","EVENT-0008","SRC-0004","Unverified","Was he traced; records confirming exclusion?"
